id,verse_id,word_position,text_arabic,transliteration,translation_english,created_at,updated_at,grammar_info
1,1,1,بِسْمِ,bismi,In the name of,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""noun"":""اسم"",""notes"":""Preposition bi (in) + noun ism (name) in construct state"",""number"":""singular"",""preposition"":""بِ"",""definiteness"":""indefinite"",""part_of_speech"":""preposition_noun""}"
2,1,2,اللَّهِ,Allahi,of Allah,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Proper noun, genitive case due to preceding preposition bi"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""proper_noun""}"
3,1,3,الرَّحْمَٰنِ,Ar-Rahman,the Most Gracious,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Divine attribute, genitive case, definite article al-"",""gender"":""masculine"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""adjective""}"
4,1,4,الرَّحِيمِ,Ar-Raheem,the Most Merciful,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Divine attribute, genitive case, definite article al-"",""gender"":""masculine"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""adjective""}"
5,2,1,الْحَمْدُ,Al-hamdu,All praise,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""nominative"",""notes"":""Subject of implied verb, nominative case, definite article al-"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
6,2,2,لِلَّهِ,lillahi,is for Allah,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""noun"":""proper_noun"",""notes"":""Preposition li (for) + proper noun Allah, genitive case"",""number"":""singular"",""preposition"":""لِ"",""definiteness"":""definite"",""part_of_speech"":""preposition_noun""}"
7,2,3,رَبِّ,Rabb,Lord,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Construct state (mudaf), genitive case, definite by virtue of following genitive"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
8,2,4,الْعَالَمِينَ,Al-alameen,of the worlds,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Plural form, genitive case (mudaf ilayh), definite article al-"",""number"":""plural"",""definiteness"":""definite"",""part_of_speech"":""noun""}"
9,3,1,الرَّحْمَٰنِ,Ar-Rahman,The Most Gracious,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Divine attribute, genitive case, definite article al-"",""gender"":""masculine"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""adjective""}"
10,3,2,الرَّحِيمِ,Ar-Raheem,the Most Merciful,2025-12-04 21:11:09.374901+00,2025-12-04 21:33:53.876635+00,"{""case"":""genitive"",""notes"":""Divine attribute, genitive case, definite article al-"",""gender"":""masculine"",""number"":""singular"",""definiteness"":""definite"",""part_of_speech"":""adjective""}"
