word_id,surah_name,verse_number,word_position,text_arabic,current_translation,previous_word_arabic,previous_word_translation,previous_word_id,next_word_arabic,next_word_translation,suggested_fix,confidence,reason
1,The Opening (الْفَاتِحَة),1,1,بِسْمِ,In the name of,,,,اللَّهِ,of Allah,Name of,LOW,No previous word in verse
6,The Opening (الْفَاتِحَة),2,2,لِلَّهِ,is for Allah,الْحَمْدُ,All praise,5,رَبِّ,Lord,Is for Allah,MEDIUM,Previous word exists but is not a known preposition
17,The Opening (الْفَاتِحَة),5,4,نَسْتَعِينُ,we ask for help,وَإِيَّاكَ,and You alone,16,,,We ask for help,MEDIUM,Previous word exists but is not a known preposition
19,The Opening (الْفَاتِحَة),6,2,الصِّرَاطَ,to the path,اهْدِنَا,Guide us,18,الْمُسْتَقِيمَ,the straight,Path,MEDIUM,Previous word exists but is not a known preposition
24,The Opening (الْفَاتِحَة),7,4,عَلَيْهِمْ,upon them,أَنْعَمْتَ,You have bestowed favor,23,غَيْرِ,not,Upon them,MEDIUM,Previous word exists but is not a known preposition
1775,The Night of Decree (الْقَدْرِ),4,5,بِإِذۡنِ,By  permission,فِيهَا,Therein,1774,رَبِّهِم,Their Lord,Permission,MEDIUM,Previous word exists but is not a known preposition
1793,The Clear Evidence (الْبَيِّنَةُ),1,9,مُنفَكِّينَ,To be abandoned,وَٱلۡمُشۡرِكِينَ,And the polytheists,1792,حَتَّىٰ,Until,Be abandoned,MEDIUM,Previous word exists but is not a known preposition
1795,The Clear Evidence (الْبَيِّنَةُ),1,11,تَأۡتِيَهُمُ,Comes to them,حَتَّىٰ,Until,1794,ٱلۡبَيِّنَةُ,The clear evidence,Comes to them,MEDIUM,Previous word exists but is not a known preposition
1820,The Clear Evidence (الْبَيِّنَةُ),5,4,لِيَعۡبُدُواْ,To worship,إِلَّا,Except,1819,ٱللَّهَ,Allah,Worship,MEDIUM,Previous word exists but is not a known preposition
1823,The Clear Evidence (الْبَيِّنَةُ),5,7,لَهُ,To Him,مُخۡلِصِينَ,Sincere,1822,ٱلدِّينَ,The religion,Him,MEDIUM,Previous word exists but is not a known preposition
1826,The Clear Evidence (الْبَيِّنَةُ),5,10,وَيُقِيمُواْ,And to establish,حُنَفَآءَ,Upright,1825,ٱلصَّلَوٰةَ,The prayer,And to establish,MEDIUM,Previous word exists but is not a known preposition
1828,The Clear Evidence (الْبَيِّنَةُ),5,12,وَيُؤۡتُواْ,And to give,ٱلصَّلَوٰةَ,The prayer,1827,ٱلزَّكَوٰةَۚ,The zakah,And to give,MEDIUM,Previous word exists but is not a known preposition
1872,The Clear Evidence (الْبَيِّنَةُ),8,15,عَنۡهُمۡ,With them,ٱللَّهُ,Allah,1871,وَرَضُواْ,And they  pleased,M,MEDIUM,Previous word exists but is not a known preposition
1874,The Clear Evidence (الْبَيِّنَةُ),8,17,عَنۡهُۚ,With Him,وَرَضُواْ,And they  pleased,1873,ذَٰلِكَ,That,Him,MEDIUM,Previous word exists but is not a known preposition
1876,The Clear Evidence (الْبَيِّنَةُ),8,19,لِمَنۡ,For whoever,ذَٰلِكَ,That,1875,خَشِيَ,Feared,Whoever,MEDIUM,Previous word exists but is not a known preposition
1889,The Earthquake (الزَّلْزَلَةُ),3,4,لَهَا,With it,مَا,What,1888,,,It,MEDIUM,Previous word exists but is not a known preposition
1890,The Earthquake (الزَّلْزَلَةُ),4,1,يَوۡمَئِذٖ,That Day,,,,تُحَدِّثُ,It will report,That Day,LOW,No previous word in verse
1897,The Earthquake (الزَّلْزَلَةُ),6,1,يَوۡمَئِذٖ,That Day,,,,يَصۡدُرُ,Will proceed,That Day,LOW,No previous word in verse
1901,The Earthquake (الزَّلْزَلَةُ),6,5,لِّيُرَوۡاْ,To be shown,أَشۡتَاتٗا,Scattered groups,1900,أَعۡمَٰلَهُمۡ,Their deeds,Be shown,MEDIUM,Previous word exists but is not a known preposition
1915,The Chargers (الْعَادِيَاتِ),1,1,وَٱلۡعَٰدِيَٰتِ,By the racers,,,,ضَبۡحٗا,Panting,Racers,LOW,No previous word in verse
1929,The Chargers (الْعَادِيَاتِ),6,3,لِرَبِّهِۦ,To his Lord,ٱلۡإِنسَٰنَ,Mankind,1928,لَكَنُودٞ,Surely ungrateful,His Lord,MEDIUM,Previous word exists but is not a known preposition
1936,The Chargers (الْعَادِيَاتِ),8,2,لِحُبِّ,In  love,وَإِنَّهُۥ,And indeed he,1935,ٱلۡخَيۡرِ,Wealth,Love,MEDIUM,Previous word exists but is not a known preposition
1953,The Chargers (الْعَادِيَاتِ),11,4,يَوۡمَئِذٖ,That Day,بِهِمۡ,About them,1952,لَّخَبِيرُۢ,Surely All-Aware,That Day,MEDIUM,Previous word exists but is not a known preposition
1992,Competition (التَّكَاثُرُ),1,2,ٱلتَّكَاثُرُ,The competition to increase,أَلۡهَىٰكُمُ,Diverts you,1991,,,The competition to increase,MEDIUM,Previous word exists but is not a known preposition
2016,Competition (التَّكَاثُرُ),8,3,يَوۡمَئِذٍ,That Day,لَتُسۡـَٔلُنَّ,Surely you will be asked,2015,عَنِ,About,That Day,MEDIUM,Previous word exists but is not a known preposition
2019,The Declining Day (الْعَصْرِ),1,1,وَٱلۡعَصۡرِ,By the time,,,,,,Time,LOW,No previous word in verse
2030,The Declining Day (الْعَصْرِ),3,7,بِٱلۡحَقِّ,To the truth,وَتَوَاصَوۡاْ,And enjoin,2029,وَتَوَاصَوۡاْ,And enjoin,Truth,MEDIUM,Previous word exists but is not a known preposition
2032,The Declining Day (الْعَصْرِ),3,9,بِٱلصَّبۡرِ,To [the] patience,وَتَوَاصَوۡاْ,And enjoin,2031,,,[the] patience,MEDIUM,Previous word exists but is not a known preposition
2034,The Traducer (الْهُمَزَةُ),1,2,لِّكُلِّ,To every,وَيۡلٞ,Woe,2033,هُمَزَةٖ,Slanderer,Every,MEDIUM,Previous word exists but is not a known preposition
2061,The Traducer (الْهُمَزَةُ),8,2,عَلَيۡهِم,Upon them,إِنَّهَا,"Indeed, it",2060,مُّؤۡصَدَةٞ,Closed over,Upon them,MEDIUM,Previous word exists but is not a known preposition
2071,The Elephant (الْفِيلِ),1,6,بِأَصۡحَٰبِ,With  Companions,رَبُّكَ,Your Lord,2070,ٱلۡفِيلِ,Elephant,Companions,MEDIUM,Previous word exists but is not a known preposition
2083,The Elephant (الْفِيلِ),4,2,بِحِجَارَةٖ,With stones,تَرۡمِيهِم,Striking them,2082,مِّن,Of,Stones,MEDIUM,Previous word exists but is not a known preposition
2089,Quraysh (قُرَيْشٍ),1,1,لِإِيلَٰفِ,For  familiarity,,,,قُرَيۡشٍ,Quraish,Familiarity,LOW,No previous word in verse
2120,The Small Kindnesses (الْمَاعُونَ),4,2,لِّلۡمُصَلِّينَ,To those who pray,فَوَيۡلٞ,So woe,2119,,,Those who pray,MEDIUM,Previous word exists but is not a known preposition
2135,The Abundance (الْكَوْثَرُ),2,2,لِرَبِّكَ,To your Lord,فَصَلِّ,So pray,2134,وَٱنۡحَرۡ,And sacrifice,Your Lord,MEDIUM,Previous word exists but is not a known preposition
2163,The Disbelievers (الْكَافِرُونَ),6,1,لَكُمۡ,For you,,,,دِينُكُمۡ,Your religion,You,LOW,No previous word in verse
2165,The Disbelievers (الْكَافِرُونَ),6,3,وَلِيَ,And for me,دِينُكُمۡ,Your religion,2164,دِينِ,My religion,And for me,MEDIUM,Previous word exists but is not a known preposition
2180,The Help (النَّصْرُ),3,2,بِحَمۡدِ,With  praises,فَسَبِّحۡ,Then glorify,2179,رَبِّكَ,Your Lord,Praises,MEDIUM,Previous word exists but is not a known preposition
2221,The Sincerity (الْإِخْلَاصُ),4,3,لَّهُۥ,For Him,يَكُن,Is,2220,كُفُوًا,Equivalent,Him,MEDIUM,Previous word exists but is not a known preposition
2226,The Daybreak (الْفَلَقِ),1,3,بِرَبِّ,In  Lord,أَعُوذُ,I seek refuge,2225,ٱلۡفَلَقِ,The dawn,Lord,MEDIUM,Previous word exists but is not a known preposition
